sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
1,1,1,0,58,3,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
0,0,1,0,52,8,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,1,0,52,8,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
1,1,1,0,46,2,1,1,1,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,29,3,1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,29,3,1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,27,4,1,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
0,0,1,0,27,4,1,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
0,0,1,1,30,4,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,1,1,30,4,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
1,1,1,3,34,3,1,0,0,0,5,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1,0,1,1,32,5,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,1,32,5,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,1,32,5,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,0,56,12,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1,1,1,0,56,12,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1,1,1,0,56,12,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1,1,1,0,56,12,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1,1,1,0,56,12,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
0,1,1,2,43,8,1,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
0,1,1,2,43,8,1,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
0,1,1,2,43,8,1,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
0,0,1,1,44,19,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,2,34,4,1,0,0,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,2,34,4,1,0,0,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
